x             rho           u             mdot          tau           T             O2            NO            NO2           N2            O             sumfracs      
1.906204e-02  3.258336e-01  1.002768e-01  3.267356e-02  1.918559e-01  1.055200e+03  2.176071e-02  4.081115e-02  3.742814e-02  9.000000e-01  1.222513e-11  1.000000e+00  
2.081928e-02  3.251937e-01  1.004741e-01  3.267356e-02  2.093623e-01  1.056593e+03  2.248491e-02  4.216935e-02  3.534574e-02  9.000000e-01  5.401096e-12  1.000000e+00  
2.257651e-02  3.245976e-01  1.006587e-01  3.267356e-02  2.268355e-01  1.057915e+03  2.314020e-02  4.339832e-02  3.346148e-02  9.000000e-01  6.913420e-12  1.000000e+00  
2.433375e-02  3.240454e-01  1.008302e-01  3.267356e-02  2.442778e-01  1.059155e+03  2.373516e-02  4.451414e-02  3.175070e-02  9.000000e-01  3.866592e-12  1.000000e+00  
2.609099e-02  3.235367e-01  1.009887e-01  3.267356e-02  2.616916e-01  1.060308e+03  2.427737e-02  4.553104e-02  3.019159e-02  9.000000e-01  3.936989e-11  1.000000e+00  
2.784823e-02  3.230706e-01  1.011344e-01  3.267356e-02  2.790792e-01  1.061368e+03  2.477362e-02  4.646172e-02  2.876467e-02  9.000000e-01  1.113933e-10  1.000000e+00  
2.960547e-02  3.226448e-01  1.012679e-01  3.267356e-02  2.964429e-01  1.062337e+03  2.522941e-02  4.731655e-02  2.745404e-02  9.000000e-01  1.228727e-10  1.000000e+00  
3.136270e-02  3.222560e-01  1.013900e-01  3.267356e-02  3.137846e-01  1.063222e+03  2.564896e-02  4.810338e-02  2.624766e-02  9.000000e-01  6.577369e-11  1.000000e+00  
3.428852e-02  3.216825e-01  1.015708e-01  3.267356e-02  3.426153e-01  1.064522e+03  2.627711e-02  4.928144e-02  2.444145e-02  9.000000e-01  7.755459e-10  1.000000e+00  
3.630436e-02  3.213347e-01  1.016807e-01  3.267356e-02  3.624510e-01  1.065306e+03  2.666495e-02  5.000882e-02  2.332623e-02  9.000000e-01  9.609418e-10  1.000000e+00  
3.832020e-02  3.210216e-01  1.017799e-01  3.267356e-02  3.822664e-01  1.066008e+03  2.702103e-02  5.067664e-02  2.230232e-02  9.000000e-01  3.325149e-10  1.000000e+00  
4.033604e-02  3.207394e-01  1.018695e-01  3.267356e-02  4.020634e-01  1.066635e+03  2.734870e-02  5.129117e-02  2.136013e-02  9.000000e-01  3.796588e-09  1.000000e+00  
4.235188e-02  3.204841e-01  1.019506e-01  3.267356e-02  4.218439e-01  1.067198e+03  2.765033e-02  5.185687e-02  2.049279e-02  9.000000e-01  7.728146e-09  1.000000e+00  
4.436772e-02  3.202527e-01  1.020243e-01  3.267356e-02  4.416093e-01  1.067706e+03  2.792858e-02  5.237871e-02  1.969270e-02  9.000000e-01  6.475043e-09  1.000000e+00  
4.638356e-02  3.200448e-01  1.020906e-01  3.267356e-02  4.613612e-01  1.068153e+03  2.818805e-02  5.286530e-02  1.894666e-02  9.000000e-01  7.777469e-09  1.000000e+00  
4.839940e-02  3.198620e-01  1.021489e-01  3.267356e-02  4.811011e-01  1.068529e+03  2.843525e-02  5.332887e-02  1.823592e-02  9.000000e-01  3.693510e-08  1.000000e+00  
4.958490e-02  3.197623e-01  1.021808e-01  3.267356e-02  4.927049e-01  1.068732e+03  2.857262e-02  5.358657e-02  1.784081e-02  9.000000e-01  1.190180e-11  1.000000e+00  
5.035739e-02  3.196981e-01  1.022013e-01  3.267356e-02  5.002642e-01  1.068866e+03  2.865736e-02  5.374549e-02  1.759715e-02  9.000000e-01  2.852802e-11  1.000000e+00  
