x             rho           u             mdot          tau           T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
1.737500e-02  9.402132e-03  4.924415e+00  4.630000e-02  5.234883e-03  3.737000e+02  2.775444e-01  8.907639e-02  1.664613e-03  1.528099e-03  1.259510e-04  5.639151e-05  6.382887e-07  2.478963e-09  6.300035e-01  1.000000e+00  
1.744682e-02  9.393733e-03  4.928818e+00  4.630000e-02  5.249462e-03  3.737000e+02  2.772271e-01  8.895699e-02  1.879707e-03  1.725410e-03  1.423454e-04  6.382066e-05  6.363283e-07  2.673349e-09  6.300040e-01  1.000000e+00  
1.757573e-02  9.378698e-03  4.936719e+00  4.630000e-02  5.275597e-03  3.737000e+02  2.765497e-01  8.870203e-02  2.338980e-03  2.146672e-03  1.773817e-04  7.972890e-05  6.201670e-07  3.111005e-09  6.300049e-01  1.000000e+00  
1.770465e-02  9.363714e-03  4.944619e+00  4.630000e-02  5.301690e-03  3.737000e+02  2.757048e-01  8.838399e-02  2.911762e-03  2.672024e-03  2.211237e-04  9.960734e-05  6.214015e-07  3.713995e-09  6.300061e-01  1.000000e+00  
1.778750e-02  9.354113e-03  4.949694e+00  4.630000e-02  5.318436e-03  3.737000e+02  2.750551e-01  8.813940e-02  3.352208e-03  3.075974e-03  2.547850e-04  1.149322e-04  6.308120e-07  4.229340e-09  6.300070e-01  1.000000e+00  
1.787035e-02  9.344533e-03  4.954769e+00  4.630000e-02  5.335165e-03  3.737000e+02  2.743071e-01  8.785777e-02  3.859293e-03  3.541009e-03  2.935560e-04  1.326054e-04  6.366544e-07  4.886000e-09  6.300080e-01  1.000000e+00  
1.795319e-02  9.334975e-03  4.959842e+00  4.630000e-02  5.351878e-03  3.737000e+02  2.734465e-01  8.753371e-02  4.442786e-03  4.076071e-03  3.381823e-04  1.529649e-04  6.315858e-07  5.728687e-09  6.300092e-01  1.000000e+00  
1.803604e-02  9.325439e-03  4.964914e+00  4.630000e-02  5.368573e-03  3.737000e+02  2.724569e-01  8.716110e-02  5.113659e-03  4.691225e-03  3.895031e-04  1.763816e-04  6.337609e-07  6.815798e-09  6.300106e-01  1.000000e+00  
1.811889e-02  9.315926e-03  4.969983e+00  4.630000e-02  5.385251e-03  3.737000e+02  2.713204e-01  8.673310e-02  5.884212e-03  5.397738e-03  4.484554e-04  2.032972e-04  6.451642e-07  8.224483e-09  6.300122e-01  1.000000e+00  
1.820174e-02  9.306437e-03  4.975051e+00  4.630000e-02  5.401912e-03  3.737000e+02  2.700165e-01  8.624212e-02  6.768224e-03  6.208189e-03  5.160786e-04  2.342072e-04  6.254855e-07  1.005146e-08  6.300140e-01  1.000000e+00  
1.828459e-02  9.296971e-03  4.980117e+00  4.630000e-02  5.418556e-03  3.737000e+02  2.685230e-01  8.567970e-02  7.780867e-03  7.136510e-03  5.935197e-04  2.695719e-04  6.201029e-07  1.242153e-08  6.300162e-01  1.000000e+00  
1.836743e-02  9.287530e-03  4.985179e+00  4.630000e-02  5.435184e-03  3.737000e+02  2.668153e-01  8.503665e-02  8.938759e-03  8.197906e-03  6.820263e-04  3.099884e-04  6.286167e-07  1.549629e-08  6.300187e-01  1.000000e+00  
1.845028e-02  9.278114e-03  4.990238e+00  4.630000e-02  5.451794e-03  3.737000e+02  2.648669e-01  8.430296e-02  1.025995e-02  9.408878e-03  7.829383e-04  3.560677e-04  6.351164e-07  1.947967e-08  6.300217e-01  1.000000e+00  
1.853313e-02  9.268724e-03  4.995294e+00  4.630000e-02  5.468388e-03  3.737000e+02  2.626493e-01  8.346801e-02  1.176373e-02  1.078708e-02  8.976730e-04  4.084157e-04  6.369491e-07  2.462298e-08  6.300251e-01  1.000000e+00  
1.861598e-02  9.259362e-03  5.000344e+00  4.630000e-02  5.484965e-03  3.737000e+02  2.601329e-01  8.252063e-02  1.347037e-02  1.235101e-02  1.027699e-03  4.676769e-04  6.214038e-07  3.123271e-08  6.300291e-01  1.000000e+00  
1.869883e-02  9.250029e-03  5.005390e+00  4.630000e-02  5.501525e-03  3.737000e+02  2.572870e-01  8.144936e-02  1.540057e-02  1.411967e-02  1.174498e-03  5.344388e-04  6.654012e-07  3.968726e-08  6.300338e-01  1.000000e+00  
1.875632e-02  9.243569e-03  5.008888e+00  4.630000e-02  5.513008e-03  3.737000e+02  2.551020e-01  8.062700e-02  1.688270e-02  1.547757e-02  1.287006e-03  5.856000e-04  6.444660e-07  4.687034e-08  6.300374e-01  1.000000e+00  
