x             rho           u             mdot          tau           T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
2.377213e-04  1.835294e-02  2.925962e+00  5.370000e-02  8.124551e-05  1.500000e+03  2.799167e-01  8.996727e-02  5.574748e-05  5.118222e-05  5.098225e-06  3.245797e-06  6.854773e-07  1.525653e-09  6.300000e-01  1.000000e+00  
2.430250e-04  1.835294e-02  2.925962e+00  5.370000e-02  8.305813e-05  1.500000e+03  2.799091e-01  8.996430e-02  6.089316e-05  5.585997e-05  5.566117e-06  3.537001e-06  7.015365e-07  1.577122e-09  6.300001e-01  1.000000e+00  
2.483286e-04  1.835294e-02  2.925962e+00  5.370000e-02  8.487074e-05  1.500000e+03  2.799008e-01  8.996107e-02  6.650023e-05  6.095576e-05  6.075819e-06  3.854241e-06  7.175692e-07  1.628938e-09  6.300001e-01  1.000000e+00  
2.536323e-04  1.835294e-02  2.925962e+00  5.370000e-02  8.668336e-05  1.500000e+03  2.798917e-01  8.995755e-02  7.260989e-05  6.650690e-05  6.631063e-06  4.199843e-06  7.335585e-07  1.681078e-09  6.300001e-01  1.000000e+00  
2.589359e-04  1.835294e-02  2.925962e+00  5.370000e-02  8.849597e-05  1.500000e+03  2.798818e-01  8.995372e-02  7.926704e-05  7.255404e-05  7.235916e-06  4.576340e-06  7.494845e-07  1.733519e-09  6.300001e-01  1.000000e+00  
2.642395e-04  1.835294e-02  2.925962e+00  5.370000e-02  9.030859e-05  1.500000e+03  2.798711e-01  8.994954e-02  8.652063e-05  7.914138e-05  7.894802e-06  4.986598e-06  7.653247e-07  1.786231e-09  6.300001e-01  1.000000e+00  
2.695432e-04  1.835294e-02  2.925962e+00  5.370000e-02  9.212120e-05  1.500000e+03  2.798594e-01  8.994499e-02  9.442397e-05  8.631723e-05  8.612543e-06  5.433511e-06  7.810532e-07  1.839185e-09  6.300001e-01  1.000000e+00  
2.748468e-04  1.835294e-02  2.925962e+00  5.370000e-02  9.393382e-05  1.500000e+03  2.798466e-01  8.994004e-02  1.030350e-04  9.413412e-05  9.394391e-06  5.920303e-06  7.966411e-07  1.892347e-09  6.300001e-01  1.000000e+00  
2.801505e-04  1.835294e-02  2.925962e+00  5.370000e-02  9.574643e-05  1.500000e+03  2.798327e-01  8.993464e-02  1.124168e-04  1.026492e-04  1.024607e-05  6.450556e-06  8.120556e-07  1.945680e-09  6.300001e-01  1.000000e+00  
2.854541e-04  1.835294e-02  2.925962e+00  5.370000e-02  9.755905e-05  1.500000e+03  2.798175e-01  8.992876e-02  1.226382e-04  1.119248e-04  1.117379e-05  7.028175e-06  8.272604e-07  1.999145e-09  6.300001e-01  1.000000e+00  
2.907577e-04  1.835294e-02  2.925962e+00  5.370000e-02  9.937166e-05  1.500000e+03  2.798010e-01  8.992236e-02  1.337739e-04  1.220285e-04  1.218435e-05  7.657391e-06  8.422151e-07  2.052695e-09  6.300001e-01  1.000000e+00  
2.960614e-04  1.835294e-02  2.925962e+00  5.370000e-02  1.011843e-04  1.500000e+03  2.797830e-01  8.991539e-02  1.459055e-04  1.330343e-04  1.328512e-05  8.342804e-06  8.568750e-07  2.106282e-09  6.300001e-01  1.000000e+00  
3.013650e-04  1.835294e-02  2.925962e+00  5.370000e-02  1.029969e-04  1.500000e+03  2.797635e-01  8.990780e-02  1.591217e-04  1.450225e-04  1.448413e-05  9.089414e-06  8.711916e-07  2.159851e-09  6.300002e-01  1.000000e+00  
